"","Count","Words"
"the first draft",84,"the first draft"
"of law enforcement",84,"of law enforcement"
"people who love",84,"people who love"
"all i think",84,"all i think"
"with as much",84,"with as much"
"that in this",84,"that in this"
"tried to be",84,"tried to be"
"so bad that",84,"so bad that"
"their lives in",84,"their lives in"
"the care of",84,"the care of"
"in other parts",84,"in other parts"
"looked up at",84,"looked up at"
"wanted to come",84,"wanted to come"
"so there was",84,"so there was"
"there's nothing to",84,"there's nothing to"
"chance to go",84,"chance to go"
"has gone to",84,"has gone to"
"do not see",84,"do not see"
"a factor in",84,"a factor in"
"world in the",84,"world in the"
"at least on",84,"at least on"
"a huge success",84,"a huge success"
"all the girls",84,"all the girls"
"don't know anything",84,"don't know anything"
"the era of",84,"the era of"
"of his friends",84,"of his friends"
"even though there",84,"even though there"
"with the red",84,"with the red"
"chance of winning",84,"chance of winning"
"and in particular",84,"and in particular"
"before you can",84,"before you can"
"to my husband",84,"to my husband"
"who he was",84,"who he was"
"i haven't really",84,"i haven't really"
"glad to know",84,"glad to know"
"is up and",84,"is up and"
"piece of cake",84,"piece of cake"
"never got to",84,"never got to"
"of time with",84,"of time with"
"it thank you",84,"it thank you"
"here i have",84,"here i have"
"them i have",84,"them i have"
"alice in wonderland",84,"alice in wonderland"
"is a complete",84,"is a complete"
"approval of the",84,"approval of the"
"the announcement of",84,"the announcement of"
"of the english",84,"of the english"
"i learned about",84,"i learned about"
"be available in",84,"be available in"
"curious to see",84,"curious to see"
"to the zoo",84,"to the zoo"
"is a natural",84,"is a natural"
"when you consider",84,"when you consider"
"in your pocket",84,"in your pocket"
"would be fine",84,"would be fine"
"i saw in",84,"i saw in"
"would be easy",84,"would be easy"
"when you try",84,"when you try"
"of a time",84,"of a time"
"try to figure",84,"try to figure"
"can get my",84,"can get my"
"early this year",84,"early this year"
"the person is",84,"the person is"
"people don't know",84,"people don't know"
"it's been years",84,"it's been years"
"high school football",84,"high school football"
"the girls were",84,"the girls were"
"which means i",84,"which means i"
"with the man",84,"with the man"
"experience as a",84,"experience as a"
"it a day",84,"it a day"
"the volume of",84,"the volume of"
"being the first",84,"being the first"
"to the finals",84,"to the finals"
"the senate and",84,"the senate and"
"the executive director",84,"the executive director"
"try my best",84,"try my best"
"you can try",84,"you can try"
"a child with",84,"a child with"
"fast forward to",84,"fast forward to"
"can't say that",84,"can't say that"
"that you think",84,"that you think"
"time to the",84,"time to the"
"and even then",84,"and even then"
"out all of",84,"out all of"
"nowhere to be",84,"nowhere to be"
"how i got",84,"how i got"
"the tone of",84,"the tone of"
"not to the",84,"not to the"
"it's been so",84,"it's been so"
"signing up for",84,"signing up for"
"far in the",84,"far in the"
"in the grass",84,"in the grass"
"is a day",84,"is a day"
"her from the",84,"her from the"
"during the war",84,"during the war"
"thing i want",84,"thing i want"
"minutes and then",84,"minutes and then"
"to a minimum",84,"to a minimum"
"and best of",84,"and best of"
"of the hunger",84,"of the hunger"
"in the lab",84,"in the lab"
"told me it",84,"told me it"
"i noticed a",84,"i noticed a"
"the collection of",84,"the collection of"
"charged with a",84,"charged with a"
"of their life",84,"of their life"
"for the three",84,"for the three"
"and be sure",84,"and be sure"
"to throw it",84,"to throw it"
"for helping me",84,"for helping me"
"am so thankful",84,"am so thankful"
"was told to",84,"was told to"
"leap of faith",84,"leap of faith"
"from heat and",84,"from heat and"
"the foot of",84,"the foot of"
"there isn't much",84,"there isn't much"
"could tell you",84,"could tell you"
"do on the",84,"do on the"
"be confused with",84,"be confused with"
"bear in mind",84,"bear in mind"
"i thank god",84,"i thank god"
"what it looks",84,"what it looks"
"food on the",84,"food on the"
"of creating a",84,"of creating a"
"i had left",84,"i had left"
"and last but",84,"and last but"
"will be published",84,"will be published"
"been invited to",84,"been invited to"
"problem in the",84,"problem in the"
"it's no wonder",84,"it's no wonder"
"went to sleep",84,"went to sleep"
"for the trip",84,"for the trip"
"believe there is",84,"believe there is"
"more info on",84,"more info on"
"that night and",84,"that night and"
"in dealing with",84,"in dealing with"
"entered to win",84,"entered to win"
"you become a",84,"you become a"
"or on a",84,"or on a"
"are not so",84,"are not so"
"there when i",84,"there when i"
"after i had",84,"after i had"
"in this blog",84,"in this blog"
"go into effect",84,"go into effect"
"robert griffin iii",84,"robert griffin iii"
"while we are",84,"while we are"
"what a nice",84,"what a nice"
"walk out of",84,"walk out of"
"had at least",84,"had at least"
"issue with the",84,"issue with the"
"done with it",84,"done with it"
"during the course",84,"during the course"
"are in fact",84,"are in fact"
"of the details",84,"of the details"
"thrilled to have",84,"thrilled to have"
"it all i",84,"it all i"
"the approval of",84,"the approval of"
"aren't the only",84,"aren't the only"
"attached to a",84,"attached to a"
"to close out",84,"to close out"
"am sure you",84,"am sure you"
"to weigh in",84,"to weigh in"
"to adopt a",84,"to adopt a"
"high school the",84,"high school the"
"the division of",84,"the division of"
"is a free",84,"is a free"
"despite all the",84,"despite all the"
"with an eye",84,"with an eye"
"it hit me",84,"it hit me"
"by the department",84,"by the department"
"made from the",84,"made from the"
"thing you know",84,"thing you know"
"a candidate for",84,"a candidate for"
"in the suburbs",84,"in the suburbs"
"you love and",84,"you love and"
"was all over",84,"was all over"
"a perfect day",84,"a perfect day"
"a large pot",84,"a large pot"
"i don't look",84,"i don't look"
"have the courage",84,"have the courage"
"also a great",84,"also a great"
"had to ask",84,"had to ask"
"of all people",84,"of all people"
"game with the",84,"game with the"
"has a plan",84,"has a plan"
"to see another",84,"to see another"
"information from the",84,"information from the"
"on my laptop",84,"on my laptop"
"a bad mood",84,"a bad mood"
"at least i'm",84,"at least i'm"
"check me out",84,"check me out"
"at this year's",84,"at this year's"
"whats going on",84,"whats going on"
"to speak out",84,"to speak out"
"knew what i",84,"knew what i"
"he struck out",84,"he struck out"
"from more than",84,"from more than"
"the playing field",84,"the playing field"
"i'm here for",84,"i'm here for"
"a kick out",84,"a kick out"
"kind of way",84,"kind of way"
"i believe you",84,"i believe you"
"the republican national",84,"the republican national"
"know when the",84,"know when the"
"have you checked",84,"have you checked"
"lots of new",84,"lots of new"
"time you have",84,"time you have"
"up with his",84,"up with his"
"he was charged",84,"he was charged"
"closer look at",84,"closer look at"
"a job for",84,"a job for"
"you next week",84,"you next week"
"date of the",84,"date of the"
"that made him",84,"that made him"
"in the championship",84,"in the championship"
"while the rest",84,"while the rest"
"out of high",84,"out of high"
"was held in",84,"was held in"
"is hosting a",84,"is hosting a"
"out at a",84,"out at a"
"there was still",84,"there was still"
"tell me more",84,"tell me more"
"my life so",84,"my life so"
"i almost forgot",84,"i almost forgot"
"do we really",84,"do we really"
"health care system",84,"health care system"
"since i got",84,"since i got"
"they were trying",84,"they were trying"
"in its first",84,"in its first"
"this day is",84,"this day is"
"members of a",84,"members of a"
"so in love",84,"so in love"
"we got some",84,"we got some"
"are just so",84,"are just so"
"know i'm a",84,"know i'm a"
"for the st",84,"for the st"
"people and i",84,"people and i"
"of the region",84,"of the region"
"be my favorite",84,"be my favorite"
"a great cause",84,"a great cause"
"want to create",84,"want to create"
"the intent of",84,"the intent of"
"in september and",84,"in september and"
"the welfare of",84,"the welfare of"
"simple as that",84,"simple as that"
"and their parents",84,"and their parents"
"more fun than",84,"more fun than"
"thanks for listening",84,"thanks for listening"
"you can enjoy",84,"you can enjoy"
"out of trouble",84,"out of trouble"
"in november the",84,"in november the"
"in my closet",84,"in my closet"
"this morning the",84,"this morning the"
"of a heart",84,"of a heart"
"billion to billion",84,"billion to billion"
"to study for",84,"to study for"
"his support for",84,"his support for"
"the campaign trail",84,"the campaign trail"
"need a job",84,"need a job"
"the lion king",84,"the lion king"
"said some of",84,"said some of"
"said the agency",84,"said the agency"
"for students to",84,"for students to"
"was last seen",84,"was last seen"
"are working to",84,"are working to"
"keep it real",84,"keep it real"
"that the school",84,"that the school"
"just listened to",84,"just listened to"
"you followed me",84,"you followed me"
"to the playoffs",84,"to the playoffs"
"that's what's up",84,"that's what's up"
"just met you",84,"just met you"
"san mateo county",84,"san mateo county"
"at p.m friday",84,"at p.m friday"
"averaged points and",84,"averaged points and"
"to the basket",84,"to the basket"
"the blazers have",84,"the blazers have"
"ty for the",84,"ty for the"
"congrats to on",84,"congrats to on"
"rt happy birthday",84,"rt happy birthday"
"thanks for tweeting",84,"thanks for tweeting"
"tips on how",83,"tips on how"
"who seems to",83,"who seems to"
"in the investigation",83,"in the investigation"
"in the article",83,"in the article"
"i arrived at",83,"i arrived at"
"that you like",83,"that you like"
"the one where",83,"the one where"
"pretty much a",83,"pretty much a"
"not being a",83,"not being a"
"willing to help",83,"willing to help"
"and others in",83,"and others in"
"it is certainly",83,"it is certainly"
"from a long",83,"from a long"
"learned from the",83,"learned from the"
"if you knew",83,"if you knew"
"it when they",83,"it when they"
"that i cannot",83,"that i cannot"
"it starts to",83,"it starts to"
"up in your",83,"up in your"
"and i've got",83,"and i've got"
"was it was",83,"was it was"
"is definitely not",83,"is definitely not"
"of being an",83,"of being an"
"and other things",83,"and other things"
"am i right",83,"am i right"
"with the latest",83,"with the latest"
"is a question",83,"is a question"
"the big one",83,"the big one"
"my life the",83,"my life the"
"well that is",83,"well that is"
"but you do",83,"but you do"
"them not to",83,"them not to"
"it would look",83,"it would look"
"sure what i",83,"sure what i"
"across the road",83,"across the road"
"all across the",83,"all across the"
"his family to",83,"his family to"
"to meet my",83,"to meet my"
"know some of",83,"know some of"
"out my new",83,"out my new"
"of the health",83,"of the health"
"and more people",83,"and more people"
"see how i",83,"see how i"
"cannot afford to",83,"cannot afford to"
"to know him",83,"to know him"
"tell them that",83,"tell them that"
"can help me",83,"can help me"
"day and age",83,"day and age"
"as we could",83,"as we could"
"studies have shown",83,"studies have shown"
"doesn't matter how",83,"doesn't matter how"
"because they can",83,"because they can"
"a better idea",83,"a better idea"
"got home i",83,"got home i"
"and the band",83,"and the band"
"the decline of",83,"the decline of"
"and say that",83,"and say that"
"does not seem",83,"does not seem"
"dancing in the",83,"dancing in the"
"know that she",83,"know that she"
"of it that",83,"of it that"
"or anything but",83,"or anything but"
"companies such as",83,"companies such as"
"this time it's",83,"this time it's"
"time is a",83,"time is a"
"i will still",83,"i will still"
"held by the",83,"held by the"
"in the shade",83,"in the shade"
"he said so",83,"he said so"
"yes i love",83,"yes i love"
"was made in",83,"was made in"
"we all had",83,"we all had"
"to compete for",83,"to compete for"
"the project and",83,"the project and"
"but no matter",83,"but no matter"
"people in your",83,"people in your"
"of higher education",83,"of higher education"
"that turned out",83,"that turned out"
"you like my",83,"you like my"
"day in and",83,"day in and"
"when i put",83,"when i put"
"much more fun",83,"much more fun"
"i just knew",83,"i just knew"
"of women and",83,"of women and"
"on a journey",83,"on a journey"
"of the popular",83,"of the popular"
"felt like the",83,"felt like the"
"working from home",83,"working from home"
"to fill up",83,"to fill up"
"if there's one",83,"if there's one"
"can get in",83,"can get in"
"said when i",83,"said when i"
"i will admit",83,"i will admit"
"new set of",83,"new set of"
"the working class",83,"the working class"
"got all the",83,"got all the"
"do the things",83,"do the things"
"she took a",83,"she took a"
"all year long",83,"all year long"
"got a bit",83,"got a bit"
"on the city",83,"on the city"
"in line at",83,"in line at"
"and we'll see",83,"and we'll see"
"the race to",83,"the race to"
"is nothing new",83,"is nothing new"
"long have you",83,"long have you"
"might like to",83,"might like to"
"and to all",83,"and to all"
"i am learning",83,"i am learning"
"another reason to",83,"another reason to"
"that if it",83,"that if it"
"about the game",83,"about the game"
"for the spring",83,"for the spring"
"the second part",83,"the second part"
"used to go",83,"used to go"
"the evening and",83,"the evening and"
"the league of",83,"the league of"
"i work in",83,"i work in"
"been given a",83,"been given a"
"and waited for",83,"and waited for"
"in that direction",83,"in that direction"
"only live once",83,"only live once"
"in parts of",83,"in parts of"
"your ability to",83,"your ability to"
"roof of the",83,"roof of the"
"in his mouth",83,"in his mouth"
"university of texas",83,"university of texas"
"in a wheelchair",83,"in a wheelchair"
"we're supposed to",83,"we're supposed to"
"supposed to get",83,"supposed to get"
"of the image",83,"of the image"
"what did he",83,"what did he"
"the hopes of",83,"the hopes of"
"the road from",83,"the road from"
"said he saw",83,"said he saw"
"must say that",83,"must say that"
"now going to",83,"now going to"
"will be using",83,"will be using"
"short time later",83,"short time later"
"we see a",83,"we see a"
"few weeks later",83,"few weeks later"
"feel of the",83,"feel of the"
"are just the",83,"are just the"
"me that there",83,"me that there"
"and unable to",83,"and unable to"
"by the pool",83,"by the pool"
"encourage them to",83,"encourage them to"
"seems that the",83,"seems that the"
"in college i",83,"in college i"
"just finished my",83,"just finished my"
"of dealing with",83,"of dealing with"
"minute of it",83,"minute of it"
"to a better",83,"to a better"
"given me a",83,"given me a"
"that is if",83,"that is if"
"a goal of",83,"a goal of"
"do you say",83,"do you say"
"set to be",83,"set to be"
"for the home",83,"for the home"
"he will never",83,"he will never"
"myself out of",83,"myself out of"
"though there are",83,"though there are"
"which is based",83,"which is based"
"few weeks i",83,"few weeks i"
"more than he",83,"more than he"
"do something that",83,"do something that"
"for several hours",83,"for several hours"
"the decline in",83,"the decline in"
"the women of",83,"the women of"
"first thing you",83,"first thing you"
"had in mind",83,"had in mind"
"i just keep",83,"i just keep"
"it is best",83,"it is best"
"them when i",83,"them when i"
"only time i",83,"only time i"
"the man with",83,"the man with"
"did not do",83,"did not do"
"with at the",83,"with at the"
"get excited about",83,"get excited about"
"that the kids",83,"that the kids"
"how to cook",83,"how to cook"
"in all this",83,"in all this"
"each of you",83,"each of you"
"week with a",83,"week with a"
"now when i",83,"now when i"
"at any moment",83,"at any moment"
"but that it",83,"but that it"
"world would be",83,"world would be"
"are of course",83,"are of course"
"remember that the",83,"remember that the"
"example of this",83,"example of this"
"they are only",83,"they are only"
"after the last",83,"after the last"
"home sweet home",83,"home sweet home"
"i had read",83,"i had read"
"you are probably",83,"you are probably"
"but they still",83,"but they still"
"table in the",83,"table in the"
"into the top",83,"into the top"
"i had all",83,"i had all"
"to find you",83,"to find you"
"designed to help",83,"designed to help"
"the voices of",83,"the voices of"
"the bus to",83,"the bus to"
"can think about",83,"can think about"
"across the border",83,"across the border"
"is very very",83,"is very very"
"around me and",83,"around me and"
"a later date",83,"a later date"
"is happening in",83,"is happening in"
"i am finally",83,"i am finally"
"of my most",83,"of my most"
"here at home",83,"here at home"
"came to an",83,"came to an"
"with the money",83,"with the money"
"the taste is",83,"the taste is"
"had to share",83,"had to share"
"of the light",83,"of the light"
"a splash of",83,"a splash of"
"not that i'm",83,"not that i'm"
"i had planned",83,"i had planned"
"well let me",83,"well let me"
"over and i",83,"over and i"
"was far from",83,"was far from"
"can come to",83,"can come to"
"if not more",83,"if not more"
"again on the",83,"again on the"
"sure what the",83,"sure what the"
"to change and",83,"to change and"
"see this as",83,"see this as"
"that's what he",83,"that's what he"
"as a guest",83,"as a guest"
"have a day",83,"have a day"
"believe this is",83,"believe this is"
"to her i",83,"to her i"
"to work it",83,"to work it"
"where it will",83,"where it will"
"so much going",83,"so much going"
"out a bit",83,"out a bit"
"i ask for",83,"i ask for"
"will be fine",83,"will be fine"
"child in the",83,"child in the"
"so i get",83,"so i get"
"woman who is",83,"woman who is"
"have an impact",83,"have an impact"
"to find new",83,"to find new"
"he was given",83,"he was given"
"turn to the",83,"turn to the"
"it's so easy",83,"it's so easy"
"us for our",83,"us for our"
"in washington state",83,"in washington state"
"the bill and",83,"the bill and"
"is to give",83,"is to give"
"or for the",83,"or for the"
"have spent the",83,"have spent the"
"in case the",83,"in case the"
"walk around the",83,"walk around the"
"started a new",83,"started a new"
"only so much",83,"only so much"
"you hear the",83,"you hear the"
"the ground floor",83,"the ground floor"
"it takes time",83,"it takes time"
"i'm glad that",83,"i'm glad that"
"know that is",83,"know that is"
"on time and",83,"on time and"
"will be worth",83,"will be worth"
"the airport and",83,"the airport and"
"arms and legs",83,"arms and legs"
"under the name",83,"under the name"
"the plus side",83,"the plus side"
"funded by the",83,"funded by the"
"many ways to",83,"many ways to"
"and not even",83,"and not even"
"have done so",83,"have done so"
"about this and",83,"about this and"
"should i go",83,"should i go"
"i sat in",83,"i sat in"
"go to hell",83,"go to hell"
"and my friend",83,"and my friend"
"how does this",83,"how does this"
"is yet to",83,"is yet to"
"was a lovely",83,"was a lovely"
"with me the",83,"with me the"
"they are good",83,"they are good"
"of the industry",83,"of the industry"
"what happens next",83,"what happens next"
"now i see",83,"now i see"
"he played in",83,"he played in"
"us to make",83,"us to make"
"it we are",83,"it we are"
"like you can",83,"like you can"
"all the rage",83,"all the rage"
"i was impressed",83,"i was impressed"
"i was living",83,"i was living"
"nor is it",83,"nor is it"
"you buy a",83,"you buy a"
"all but one",83,"all but one"
"i just took",83,"i just took"
"want to send",83,"want to send"
"the years to",83,"the years to"
"points of the",83,"points of the"
"better job of",83,"better job of"
"are they going",83,"are they going"
"say to the",83,"say to the"
"we were looking",83,"we were looking"
"sure if you",83,"sure if you"
"into their own",83,"into their own"
"it's hard not",83,"it's hard not"
"you better be",83,"you better be"
"nothing less than",83,"nothing less than"
"enjoy the rest",83,"enjoy the rest"
"had to change",83,"had to change"
"are on sale",83,"are on sale"
"in the project",83,"in the project"
"with a gun",83,"with a gun"
"you or your",83,"you or your"
"sound of a",83,"sound of a"
"i wish he",83,"i wish he"
"the word is",83,"the word is"
"win it all",83,"win it all"
"it's possible that",83,"it's possible that"
"real estate agent",83,"real estate agent"
"social media to",83,"social media to"
"then we will",83,"then we will"
"you can't wait",83,"you can't wait"
"ended up at",83,"ended up at"
"years of my",83,"years of my"
"the total number",83,"the total number"
"coming off the",83,"coming off the"
"going to my",83,"going to my"
"bin laden was",83,"bin laden was"
"he lives in",83,"he lives in"
"that said the",83,"that said the"
"do whatever it",83,"do whatever it"
"putting on a",83,"putting on a"
"really is the",83,"really is the"
"me think about",83,"me think about"
"is coming back",83,"is coming back"
"its share of",83,"its share of"
"dont have to",83,"dont have to"
"he was out",83,"he was out"
"of the drug",83,"of the drug"
"as evidenced by",83,"as evidenced by"
"show up to",83,"show up to"
"about the economy",83,"about the economy"
"can try to",83,"can try to"
"it but you",83,"it but you"
"a game and",83,"a game and"
"just the beginning",83,"just the beginning"
"few years later",83,"few years later"
"just as he",83,"just as he"
"was a different",83,"was a different"
"show starts at",83,"show starts at"
"the next hour",83,"the next hour"
"but could not",83,"but could not"
"the draft and",83,"the draft and"
"to sign the",83,"to sign the"
"trying to avoid",83,"trying to avoid"
"as a human",83,"as a human"
"from outside the",83,"from outside the"
"on a long",83,"on a long"
"up there and",83,"up there and"
"the statue of",83,"the statue of"
"of the conversation",83,"of the conversation"
"you are here",83,"you are here"
"and the need",83,"and the need"
"leading the way",83,"leading the way"
"thanks everyone for",83,"thanks everyone for"
"on april at",83,"on april at"
"setting up the",83,"setting up the"
"on the local",83,"on the local"
"of the beautiful",83,"of the beautiful"
"idea of how",83,"idea of how"
"a.m at the",83,"a.m at the"
"there he was",83,"there he was"
"i get some",83,"i get some"
"you were on",83,"you were on"
"i am being",83,"i am being"
"voted against the",83,"voted against the"
"the crowd of",83,"the crowd of"
"an additional million",83,"an additional million"
"for the end",83,"for the end"
"as a rookie",83,"as a rookie"
"the governor and",83,"the governor and"
"on my profile",83,"on my profile"
"will be offered",83,"will be offered"
"he thinks the",83,"he thinks the"
"you inspire me",83,"you inspire me"
"great job on",83,"great job on"
"mitt romney is",83,"mitt romney is"
"on gay marriage",83,"on gay marriage"
"are gonna be",83,"are gonna be"
"to keep its",83,"to keep its"
"of a weapon",83,"of a weapon"
"university school of",83,"university school of"
"that was fun",83,"that was fun"
"the trail blazers",83,"the trail blazers"
"that the district",83,"that the district"
"he expects to",83,"he expects to"
"stop in for",83,"stop in for"
"i miss your",83,"i miss your"
"in a victory",83,"in a victory"
"congrats to you",83,"congrats to you"
"take a lead",83,"take a lead"
"for the giants",83,"for the giants"
"the eighth inning",83,"the eighth inning"
"where u at",83,"where u at"
"the purposes of",82,"the purposes of"
"if they get",82,"if they get"
"thing for me",82,"thing for me"
"minutes until the",82,"minutes until the"
"be like the",82,"be like the"
"in this film",82,"in this film"
"they will never",82,"they will never"
"had to deal",82,"had to deal"
"to be addressed",82,"to be addressed"
"from a local",82,"from a local"
"time they were",82,"time they were"
"receive a free",82,"receive a free"
"first place in",82,"first place in"
"and hope you",82,"and hope you"
"feels like it",82,"feels like it"
"i am truly",82,"i am truly"
"all night and",82,"all night and"
"that the number",82,"that the number"
"i wrote this",82,"i wrote this"
"and as an",82,"and as an"
"though i think",82,"though i think"
"matter where you",82,"matter where you"
"it has nothing",82,"it has nothing"
"make sure it's",82,"make sure it's"
"get off your",82,"get off your"
"you can probably",82,"you can probably"
"will do that",82,"will do that"
"not try to",82,"not try to"
"the world so",82,"the world so"
"who she is",82,"who she is"
"i find out",82,"i find out"
"know that it's",82,"know that it's"
"and tell him",82,"and tell him"
"and click on",82,"and click on"
"the car to",82,"the car to"
"is actually the",82,"is actually the"
"was made by",82,"was made by"
"in my future",82,"in my future"
"i was scared",82,"i was scared"
"of a different",82,"of a different"
"that's why they",82,"that's why they"
"we do the",82,"we do the"
"that over the",82,"that over the"
"i still like",82,"i still like"
"was happy with",82,"was happy with"
"happy with it",82,"happy with it"
"three in the",82,"three in the"
"to present the",82,"to present the"
"was getting a",82,"was getting a"
"we don't even",82,"we don't even"
"are we to",82,"are we to"
"early 20th century",82,"early 20th century"
"think you will",82,"think you will"
"i wouldn't mind",82,"i wouldn't mind"
"i can share",82,"i can share"
"of the equation",82,"of the equation"
"a peek at",82,"a peek at"
"should be made",82,"should be made"
"a meeting of",82,"a meeting of"
"to run and",82,"to run and"
"of children and",82,"of children and"
"the image is",82,"the image is"
"i used some",82,"i used some"
"left to right",82,"left to right"
"it is here",82,"it is here"
"to the light",82,"to the light"
"students who are",82,"students who are"
"but as we",82,"but as we"
"and getting a",82,"and getting a"
"in the former",82,"in the former"
"but she didn't",82,"but she didn't"
"i continued to",82,"i continued to"
"an issue of",82,"an issue of"
"to enter into",82,"to enter into"
"so much on",82,"so much on"
"the day on",82,"the day on"
"dream last night",82,"dream last night"
"could have used",82,"could have used"
"as cool as",82,"as cool as"
"be called the",82,"be called the"
"and friends and",82,"and friends and"
"is plenty of",82,"is plenty of"
"well i just",82,"well i just"
"we all do",82,"we all do"
"of what to",82,"of what to"
"about a quarter",82,"about a quarter"
"on his right",82,"on his right"
"trying to write",82,"trying to write"
"enough to see",82,"enough to see"
"in october and",82,"in october and"
"give me your",82,"give me your"
"not much to",82,"not much to"
"has taken the",82,"has taken the"
"i know your",82,"i know your"
"out of jail",82,"out of jail"
"through some of",82,"through some of"
"he did the",82,"he did the"
"a very short",82,"a very short"
"they turned out",82,"they turned out"
"you might like",82,"you might like"
"definition of a",82,"definition of a"
"giving me the",82,"giving me the"
"in the english",82,"in the english"
"help spread the",82,"help spread the"
"people like to",82,"people like to"
"building on the",82,"building on the"
"had to learn",82,"had to learn"
"anything and everything",82,"anything and everything"
"the man of",82,"the man of"
"and they want",82,"and they want"
"write it down",82,"write it down"
"one in my",82,"one in my"
"that out of",82,"that out of"
"i thought my",82,"i thought my"
"will be all",82,"will be all"
"anyone who wants",82,"anyone who wants"
"am hoping to",82,"am hoping to"
"to bring to",82,"to bring to"
"check out a",82,"check out a"
"since the start",82,"since the start"
"only part of",82,"only part of"
"can't live without",82,"can't live without"
"together to make",82,"together to make"
"yet to come",82,"yet to come"
"very well be",82,"very well be"
"and it all",82,"and it all"
"we must not",82,"we must not"
"i can start",82,"i can start"
"about it if",82,"about it if"
"his death in",82,"his death in"
"the road with",82,"the road with"
"the moment but",82,"the moment but"
"find in the",82,"find in the"
"to work a",82,"to work a"
"able to buy",82,"able to buy"
"to room temperature",82,"to room temperature"
"to resolve the",82,"to resolve the"
"from the point",82,"from the point"
"the colour of",82,"the colour of"
"in celebration of",82,"in celebration of"
"take in the",82,"take in the"
"way of doing",82,"way of doing"
"and despite the",82,"and despite the"
"the peak of",82,"the peak of"
"and spread the",82,"and spread the"
"talk to your",82,"talk to your"
"to our own",82,"to our own"
"to the late",82,"to the late"
"you heard of",82,"you heard of"
"and asked him",82,"and asked him"
"use them to",82,"use them to"
"didn't even have",82,"didn't even have"
"is made with",82,"is made with"
"what he can",82,"what he can"
"for three months",82,"for three months"
"fact that it's",82,"fact that it's"
"the service of",82,"the service of"
"ready for it",82,"ready for it"
"police officer who",82,"police officer who"
"take it off",82,"take it off"
"the interior of",82,"the interior of"
"because of your",82,"because of your"
"in when i",82,"in when i"
"lots of time",82,"lots of time"
"for an amazing",82,"for an amazing"
"things for the",82,"things for the"
"everything else is",82,"everything else is"
"will check it",82,"will check it"
"was the fact",82,"was the fact"
"need to finish",82,"need to finish"
"to purchase the",82,"to purchase the"
"the master of",82,"the master of"
"my favorite is",82,"my favorite is"
"then of course",82,"then of course"
"know and i",82,"know and i"
"make a point",82,"make a point"
"with me as",82,"with me as"
"not in any",82,"not in any"
"events such as",82,"events such as"
"oh yeah and",82,"oh yeah and"
"to where the",82,"to where the"
"with the band",82,"with the band"
"i am definitely",82,"i am definitely"
"he was found",82,"he was found"
"at least have",82,"at least have"
"but one thing",82,"but one thing"
"to lay down",82,"to lay down"
"this one has",82,"this one has"
"on the earth",82,"on the earth"
"for anyone to",82,"for anyone to"
"i have enough",82,"i have enough"
"the paper and",82,"the paper and"
"time it takes",82,"time it takes"
"inches of snow",82,"inches of snow"
"i hear a",82,"i hear a"
"where is my",82,"where is my"
"it for years",82,"it for years"
"what you should",82,"what you should"
"put on hold",82,"put on hold"
"me know and",82,"me know and"
"complain about the",82,"complain about the"
"have done this",82,"have done this"
"sit down with",82,"sit down with"
"head on the",82,"head on the"
"least percent of",82,"least percent of"
"with that said",82,"with that said"
"is just that",82,"is just that"
"me in this",82,"me in this"
"on a high",82,"on a high"
"back down to",82,"back down to"
"click here for",82,"click here for"
"was a few",82,"was a few"
"become the first",82,"become the first"
"majority of people",82,"majority of people"
"make a card",82,"make a card"
"way they are",82,"way they are"
"to accommodate the",82,"to accommodate the"
"there were the",82,"there were the"
"he was about",82,"he was about"
"everyone needs to",82,"everyone needs to"
"the group was",82,"the group was"
"not get the",82,"not get the"
"a little harder",82,"a little harder"
"i just really",82,"i just really"
"so i really",82,"so i really"
"with the one",82,"with the one"
"the coming days",82,"the coming days"
"love all of",82,"love all of"
"when we can",82,"when we can"
"out what i",82,"out what i"
"with a beautiful",82,"with a beautiful"
"not exactly a",82,"not exactly a"
"more than for",82,"more than for"
"get off my",82,"get off my"
"just to keep",82,"just to keep"
"i'm still a",82,"i'm still a"
"all by myself",82,"all by myself"
"of course in",82,"of course in"
"wrong with this",82,"wrong with this"
"you hear about",82,"you hear about"
"available for purchase",82,"available for purchase"
"to billion in",82,"to billion in"
"felt like we",82,"felt like we"
"taught me how",82,"taught me how"
"his career in",82,"his career in"
"don't think there",82,"don't think there"
"and how she",82,"and how she"
"that what you",82,"that what you"
"play with my",82,"play with my"
"is around the",82,"is around the"
"inside of me",82,"inside of me"
"but i wish",82,"but i wish"
"you get what",82,"you get what"
"for the winter",82,"for the winter"
"discussion of the",82,"discussion of the"
"to write in",82,"to write in"
"hours on the",82,"hours on the"
"day i don't",82,"day i don't"
"these days the",82,"these days the"
"had in a",82,"had in a"
"my mother is",82,"my mother is"
"this one but",82,"this one but"
"how many more",82,"how many more"
"and not enough",82,"and not enough"
"don't know what's",82,"don't know what's"
"but we must",82,"but we must"
"and the district",82,"and the district"
"segment of the",82,"segment of the"
"could you please",82,"could you please"
"food for thought",82,"food for thought"
"responding to the",82,"responding to the"
"one-third of the",82,"one-third of the"
"me is a",82,"me is a"
"is perhaps the",82,"is perhaps the"
"don't like that",82,"don't like that"
"on it the",82,"on it the"
"behind the counter",82,"behind the counter"
"to the song",82,"to the song"
"could be seen",82,"could be seen"
"they were to",82,"they were to"
"my favorite song",82,"my favorite song"
"for me a",82,"for me a"
